Sample,Site,Species,Group,Sex,Repro,RepSex,Indiv,Comp,RT,Area
t31_smO1SI,TZ,SIMP,SITZ,Female,Non-repro,Non-repro_Female,O1SITZ,B073,16.793,54977619
d15_smP1SO,DM,SOED,SODM,Female,Reproductive,Repro_Female,P1SODM,B074,16.839,31687746
p66_smJ2SO,PW,SOED,SOPW,Male,Non-repro,Non-repro_Male,J2SOPW,B075,16.907,19789029
p53_smO1SO,PW,SOED,SOPW,Female,Non-repro,Non-repro_Female,O1SOPW,B075,16.924,35866409
p62_smP2SO,PW,SOED,SOPW,Male,Reproductive,Repro_Male,P2SOPW,B075,16.946,51944430
t57_usmO1SI,TZ,SIMP,SITZ,Female,Non-repro,Non-repro_Female,O1SITZ,B075,16.988,106824583
t18_usmP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B075,16.992,97731986
t39_smO1SI,TZ,SIMP,SITZ,Female,Non-repro,Non-repro_Female,O1SITZ,B075,16.992,61687511
t22_usmP2SI,TZ,SIMP,SITZ,Male,Reproductive,Repro_Male,P2SITZ,B075,17.006,59897118
t31_smO1SI,TZ,SIMP,SITZ,Female,Non-repro,Non-repro_Female,O1SITZ,B075,17.009,37556331
d19_smP1SO,DM,SOED,SODM,Female,Reproductive,Repro_Female,P1SODM,B075,17.01,142627588
d35_usmP1SO,DM,SOED,SODM,Female,Reproductive,Repro_Female,P1SODM,B075,17.01,366659669
d15_smP1SO,DM,SOED,SODM,Female,Reproductive,Repro_Female,P1SODM,B075,17.02,67221784
t29_usmP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B076,17.038,220092654
t18_usmP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B077,17.098,30232633
t22_usmP2SI,TZ,SIMP,SITZ,Male,Reproductive,Repro_Male,P2SITZ,B078,17.449,41481094
p29_smP1SO,PW,SOED,SOPW,Female,Reproductive,Repro_Female,P1SOPW,B079,17.768,123509638
t29_usmP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B080,17.974,43235960
t39_smO1SI,TZ,SIMP,SITZ,Female,Non-repro,Non-repro_Female,O1SITZ,B080,17.974,66596725
t57_usmO1SI,TZ,SIMP,SITZ,Female,Non-repro,Non-repro_Female,O1SITZ,B081,17.974,58376117
t33_smP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B080,17.985,63181936
t22_usmP2SI,TZ,SIMP,SITZ,Male,Reproductive,Repro_Male,P2SITZ,B081,18.059,37129764
t34_smP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B081,18.059,96801044
d15_smP1SO,DM,SOED,SODM,Female,Reproductive,Repro_Female,P1SODM,B082,18.059,108239742
t17_smP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B081,18.063,37064946
t22_usmP2SI,TZ,SIMP,SITZ,Male,Reproductive,Repro_Male,P2SITZ,B083,18.272,47171937
t17_smP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B083,18.279,36792498
t31_smO1SI,TZ,SIMP,SITZ,Female,Non-repro,Non-repro_Female,O1SITZ,B083,18.279,36350294
d15_smP1SO,DM,SOED,SODM,Female,Reproductive,Repro_Female,P1SODM,B084,18.496,45316618
d35_usmP1SO,DM,SOED,SODM,Female,Reproductive,Repro_Female,P1SODM,B084,18.503,102582800
p53_smO1SO,PW,SOED,SOPW,Female,Non-repro,Non-repro_Female,O1SOPW,B085,18.68,32933914
t22_usmP2SI,TZ,SIMP,SITZ,Male,Reproductive,Repro_Male,P2SITZ,B086,18.783,32468055
t17_smP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B086,18.794,34373142
p66_smJ2SO,PW,SOED,SOPW,Male,Non-repro,Non-repro_Male,J2SOPW,B086,18.797,52543959
d71_smP1SI,DM,SIMP,SIDM,Female,Reproductive,Repro_Female,P1SIDM,B087,18.879,74437908
d19_smP1SO,DM,SOED,SODM,Female,Reproductive,Repro_Female,P1SODM,B087,18.882,97310464
d35_usmP1SO,DM,SOED,SODM,Female,Reproductive,Repro_Female,P1SODM,B087,18.889,120107795
t29_usmP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B088,18.988,2147483647
t39_smO1SI,TZ,SIMP,SITZ,Female,Non-repro,Non-repro_Female,O1SITZ,B088,18.992,2147483647
t18_usmP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B088,18.996,421536571
t33_smP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B088,18.996,2147483647
t40_smJ1SI,TZ,SIMP,SITZ,Female,Non-repro,Non-repro_Female,J1SITZ,B088,18.996,2147483647
t62_smO2SI,TZ,SIMP,SITZ,Male,Non-repro,Non-repro_Male,O2SITZ,B088,18.996,76526352
t59_smO2SI,TZ,SIMP,SITZ,Male,Non-repro,Non-repro_Male,O2SITZ,B088,19.006,1308832533
t57_usmO1SI,TZ,SIMP,SITZ,Female,Non-repro,Non-repro_Female,O1SITZ,B088,19.017,2147483647
t38_smO1SI,TZ,SIMP,SITZ,Female,Non-repro,Non-repro_Female,O1SITZ,B088,19.049,2147483647
t59_smO2SI,TZ,SIMP,SITZ,Male,Non-repro,Non-repro_Male,O2SITZ,B089,19.084,61087882
p32_smP1SO,PW,SOED,SOPW,Female,Reproductive,Repro_Female,P1SOPW,B088,19.095,1196658467
p53_smO1SO,PW,SOED,SOPW,Female,Non-repro,Non-repro_Female,O1SOPW,B088,19.095,1983259210
p67_smO1SO,PW,SOED,SOPW,Female,Non-repro,Non-repro_Female,O1SOPW,B088,19.095,532522566
p68_smO2SO,PW,SOED,SOPW,Male,Non-repro,Non-repro_Male,O2SOPW,B088,19.095,1934657247
p15_smP1SO,PW,SOED,SOPW,Female,Reproductive,Repro_Female,P1SOPW,B088,19.098,2147483647
t17_smP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B088,19.102,2147483647
t22_usmP2SI,TZ,SIMP,SITZ,Male,Reproductive,Repro_Male,P2SITZ,B088,19.102,44333168
p62_smP2SO,PW,SOED,SOPW,Male,Reproductive,Repro_Male,P2SOPW,B088,19.105,338597460
p63_smP2SO,PW,SOED,SOPW,Male,Reproductive,Repro_Male,P2SOPW,B088,19.105,181731596
d70_smP2SI,DM,SIMP,SIDM,Male,Reproductive,Repro_Male,P2SIDM,B088,19.109,665986008
p29_smP1SO,PW,SOED,SOPW,Female,Reproductive,Repro_Female,P1SOPW,B088,19.109,2147483647
d15_smP1SO,DM,SOED,SODM,Female,Reproductive,Repro_Female,P1SODM,B088,19.113,315683599
p66_smJ2SO,PW,SOED,SOPW,Male,Non-repro,Non-repro_Male,J2SOPW,B088,19.113,91963504
d71_smP1SI,DM,SIMP,SIDM,Female,Reproductive,Repro_Female,P1SIDM,B088,19.116,2147483647
d34_usmP1SO,DM,SOED,SODM,Female,Reproductive,Repro_Female,P1SODM,B088,19.12,2147483647
p28_smO1SO,PW,SOED,SOPW,Female,Non-repro,Non-repro_Female,O1SOPW,B088,19.12,2147483647
d37_smP1SI,DM,SIMP,SIDM,Female,Reproductive,Repro_Female,P1SIDM,B088,19.123,140671654
t34_smP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B088,19.123,2147483647
d19_smP1SO,DM,SOED,SODM,Female,Reproductive,Repro_Female,P1SODM,B088,19.123,2147483647
t44_usmP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B088,19.127,2147483647
p49_smO1SO,PW,SOED,SOPW,Female,Non-repro,Non-repro_Female,O1SOPW,B088,19.13,2147483647
d35_usmP1SO,DM,SOED,SODM,Female,Reproductive,Repro_Female,P1SODM,B088,19.148,2147483647
t22_usmP2SI,TZ,SIMP,SITZ,Male,Reproductive,Repro_Male,P2SITZ,B089,19.169,31808300
d61_smP1SI,DM,SIMP,SIDM,Female,Reproductive,Repro_Female,P1SIDM,B088,19.208,2147483647
t39_smO1SI,TZ,SIMP,SITZ,Female,Non-repro,Non-repro_Female,O1SITZ,B090,19.368,211714859
t38_smO1SI,TZ,SIMP,SITZ,Female,Non-repro,Non-repro_Female,O1SITZ,B090,19.372,355207681
t29_usmP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B090,19.375,848603735
t57_usmO1SI,TZ,SIMP,SITZ,Female,Non-repro,Non-repro_Female,O1SITZ,B090,19.375,232609576
t59_smO2SI,TZ,SIMP,SITZ,Male,Non-repro,Non-repro_Male,O2SITZ,B090,19.4,223535033
t40_smJ1SI,TZ,SIMP,SITZ,Female,Non-repro,Non-repro_Female,J1SITZ,B090,19.411,117522507
t33_smP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B090,19.421,198019990
t22_usmP2SI,TZ,SIMP,SITZ,Male,Reproductive,Repro_Male,P2SITZ,B090,19.439,66939808
p67_smO1SO,PW,SOED,SOPW,Female,Non-repro,Non-repro_Female,O1SOPW,B090,19.442,155208943
t44_usmP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B090,19.443,1130199106
t17_smP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B090,19.446,64815442
t34_smP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B090,19.446,400308629
p15_smP1SO,PW,SOED,SOPW,Female,Reproductive,Repro_Female,P1SOPW,B090,19.446,1252874759
p28_smO1SO,PW,SOED,SOPW,Female,Non-repro,Non-repro_Female,O1SOPW,B090,19.449,1334106093
d19_smP1SO,DM,SOED,SODM,Female,Reproductive,Repro_Female,P1SODM,B090,19.45,293418676
d34_usmP1SO,DM,SOED,SODM,Female,Reproductive,Repro_Female,P1SODM,B090,19.45,196816258
d35_usmP1SO,DM,SOED,SODM,Female,Reproductive,Repro_Female,P1SODM,B090,19.45,483132814
d15_smP1SO,DM,SOED,SODM,Female,Reproductive,Repro_Female,P1SODM,B090,19.453,158468968
p68_smO2SO,PW,SOED,SOPW,Male,Non-repro,Non-repro_Male,O2SOPW,B090,19.453,107054469
p32_smP1SO,PW,SOED,SOPW,Female,Reproductive,Repro_Female,P1SOPW,B090,19.46,97889213
