Sample,Site,Species,Group,Sex,Repro,RepSex,Indiv,Comp,RT,Area
t60_smJ2SI,TZ,SIMP,SITZ,Male,Non-repro,Non-repro_Male,J2SITZ,B112,23.759,30857207
t62_smO2SI,TZ,SIMP,SITZ,Male,Non-repro,Non-repro_Male,O2SITZ,B112,23.759,47436978
p68_smO2SO,PW,SOED,SOPW,Male,Non-repro,Non-repro_Male,O2SOPW,B113,23.762,28837094
p62_smP2SO,PW,SOED,SOPW,Male,Reproductive,Repro_Male,P2SOPW,B114,23.769,48899219
t39_smO1SI,TZ,SIMP,SITZ,Female,Non-repro,Non-repro_Female,O1SITZ,B112,23.773,70336779
t57_usmO1SI,TZ,SIMP,SITZ,Female,Non-repro,Non-repro_Female,O1SITZ,B112,23.773,162344370
t40_smJ1SI,TZ,SIMP,SITZ,Female,Non-repro,Non-repro_Female,J1SITZ,B112,23.78,35028162
p66_smJ2SO,PW,SOED,SOPW,Male,Non-repro,Non-repro_Male,J2SOPW,B113,23.78,20571595
t38_smO1SI,TZ,SIMP,SITZ,Female,Non-repro,Non-repro_Female,O1SITZ,B112,23.787,397915124
t59_smO2SI,TZ,SIMP,SITZ,Male,Non-repro,Non-repro_Male,O2SITZ,B112,23.787,76644930
p32_smP1SO,PW,SOED,SOPW,Female,Reproductive,Repro_Female,P1SOPW,B115,23.837,71125124
t22_usmP2SI,TZ,SIMP,SITZ,Male,Reproductive,Repro_Male,P2SITZ,B112,23.894,43197461
t44_usmP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B112,23.894,132846996
t31_smO1SI,TZ,SIMP,SITZ,Female,Non-repro,Non-repro_Female,O1SITZ,B112,23.897,82779070
t34_smP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B112,23.897,68431274
d19_smP1SO,DM,SOED,SODM,Female,Reproductive,Repro_Female,P1SODM,B112,23.905,196441333
d15_smP1SO,DM,SOED,SODM,Female,Reproductive,Repro_Female,P1SODM,B112,23.908,84628641
d35_usmP1SO,DM,SOED,SODM,Female,Reproductive,Repro_Female,P1SODM,B112,23.908,175148211
d37_smP1SI,DM,SIMP,SIDM,Female,Reproductive,Repro_Female,P1SIDM,B112,23.911,73161986
p28_smO1SO,PW,SOED,SOPW,Female,Non-repro,Non-repro_Female,O1SOPW,B112,23.911,133538213
p62_smP2SO,PW,SOED,SOPW,Male,Reproductive,Repro_Male,P2SOPW,B116,24.596,45636764
p66_smJ2SO,PW,SOED,SOPW,Male,Non-repro,Non-repro_Male,J2SOPW,B116,24.596,19576370
t29_usmP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B117,24.748,83332276
d61_smP1SI,DM,SIMP,SIDM,Female,Reproductive,Repro_Female,P1SIDM,B117,24.785,256255718
t62_smO2SI,TZ,SIMP,SITZ,Male,Non-repro,Non-repro_Male,O2SITZ,B118,24.844,63629124
t39_smO1SI,TZ,SIMP,SITZ,Female,Non-repro,Non-repro_Female,O1SITZ,B118,24.855,48244372
t57_usmO1SI,TZ,SIMP,SITZ,Female,Non-repro,Non-repro_Female,O1SITZ,B118,24.855,54299882
t59_smO2SI,TZ,SIMP,SITZ,Male,Non-repro,Non-repro_Male,O2SITZ,B118,24.869,40512612
t34_smP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B117,24.887,108714077
t31_smO1SI,TZ,SIMP,SITZ,Female,Non-repro,Non-repro_Female,O1SITZ,B118,24.979,37708568
p53_smO1SO,PW,SOED,SOPW,Female,Non-repro,Non-repro_Female,O1SOPW,B118,24.979,28065897
p68_smO2SO,PW,SOED,SOPW,Male,Non-repro,Non-repro_Male,O2SOPW,B118,24.982,49318747
t17_smP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B118,24.984,245756851
p32_smP1SO,PW,SOED,SOPW,Female,Reproductive,Repro_Female,P1SOPW,B118,24.986,60293731
p28_smO1SO,PW,SOED,SOPW,Female,Non-repro,Non-repro_Female,O1SOPW,B118,24.989,91716436
p62_smP2SO,PW,SOED,SOPW,Male,Reproductive,Repro_Male,P2SOPW,B118,24.993,66968053
p66_smJ2SO,PW,SOED,SOPW,Male,Non-repro,Non-repro_Male,J2SOPW,B118,24.993,53665617
p63_smP2SO,PW,SOED,SOPW,Male,Reproductive,Repro_Male,P2SOPW,B118b,25.188,26522923
d61_smP1SI,DM,SIMP,SIDM,Female,Reproductive,Repro_Female,P1SIDM,B119,25.225,254466766
p49_smO1SO,PW,SOED,SOPW,Female,Non-repro,Non-repro_Female,O1SOPW,B119,25.245,83979908
p15_smP1SO,PW,SOED,SOPW,Female,Reproductive,Repro_Female,P1SOPW,B119,25.248,194205065
p32_smP1SO,PW,SOED,SOPW,Female,Reproductive,Repro_Female,P1SOPW,B119,25.248,84780534
p28_smO1SO,PW,SOED,SOPW,Female,Non-repro,Non-repro_Female,O1SOPW,B119,25.255,314554599
t60_smJ2SI,TZ,SIMP,SITZ,Male,Non-repro,Non-repro_Male,J2SITZ,B120,25.617,26494844
t62_smO2SI,TZ,SIMP,SITZ,Male,Non-repro,Non-repro_Male,O2SITZ,B120,25.621,26429535
t18_usmP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B120,25.635,34358430
t31_smO1SI,TZ,SIMP,SITZ,Female,Non-repro,Non-repro_Female,O1SITZ,B120,25.755,40267549
t22_usmP2SI,TZ,SIMP,SITZ,Male,Reproductive,Repro_Male,P2SITZ,B120,25.756,74139639
t60_smJ2SI,TZ,SIMP,SITZ,Male,Non-repro,Non-repro_Male,J2SITZ,B121,26.181,33908561
t62_smO2SI,TZ,SIMP,SITZ,Male,Non-repro,Non-repro_Male,O2SITZ,B121,26.185,41710282
t29_usmP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B121,26.192,51902651
t57_usmO1SI,TZ,SIMP,SITZ,Female,Non-repro,Non-repro_Female,O1SITZ,B121,26.195,45176094
t33_smP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B121,26.199,35409091
t40_smJ1SI,TZ,SIMP,SITZ,Female,Non-repro,Non-repro_Female,J1SITZ,B121,26.199,33518826
t39_smO1SI,TZ,SIMP,SITZ,Female,Non-repro,Non-repro_Female,O1SITZ,B121,26.202,32186298
t18_usmP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B121,26.207,37862928
t59_smO2SI,TZ,SIMP,SITZ,Male,Non-repro,Non-repro_Male,O2SITZ,B121,26.213,40911808
t22_usmP2SI,TZ,SIMP,SITZ,Male,Reproductive,Repro_Male,P2SITZ,B121,26.323,102307880
t31_smO1SI,TZ,SIMP,SITZ,Female,Non-repro,Non-repro_Female,O1SITZ,B121,26.326,101634953
p62_smP2SO,PW,SOED,SOPW,Male,Reproductive,Repro_Male,P2SOPW,B121,26.334,67281103
d35_usmP1SO,DM,SOED,SODM,Female,Reproductive,Repro_Female,P1SODM,B121,26.347,177275422
d37_smP1SI,DM,SIMP,SIDM,Female,Reproductive,Repro_Female,P1SIDM,B121,26.348,45272154
d15_smP1SO,DM,SOED,SODM,Female,Reproductive,Repro_Female,P1SODM,B121,26.348,90432903
d19_smP1SO,DM,SOED,SODM,Female,Reproductive,Repro_Female,P1SODM,B121,26.35,142663626
p28_smO1SO,PW,SOED,SOPW,Female,Non-repro,Non-repro_Female,O1SOPW,B122,28.167,167782491
t29_usmP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B123,28.178,58742399
t22_usmP2SI,TZ,SIMP,SITZ,Male,Reproductive,Repro_Male,P2SITZ,B123,28.331,99467408
p29_smP1SO,PW,SOED,SOPW,Female,Reproductive,Repro_Female,P1SOPW,B123,28.426,128118101
p62_smP2SO,PW,SOED,SOPW,Male,Reproductive,Repro_Male,P2SOPW,B123,28.437,37131019
p28_smO1SO,PW,SOED,SOPW,Female,Non-repro,Non-repro_Female,O1SOPW,B124,29.036,66660673
d35_usmP1SO,DM,SOED,SODM,Female,Reproductive,Repro_Female,P1SODM,B124,29.059,117816066
t59_smO2SI,TZ,SIMP,SITZ,Male,Non-repro,Non-repro_Male,O2SITZ,B125,29.888,19381069
t62_smO2SI,TZ,SIMP,SITZ,Male,Non-repro,Non-repro_Male,O2SITZ,B125,30.034,35515703
t60_smJ2SI,TZ,SIMP,SITZ,Male,Non-repro,Non-repro_Male,J2SITZ,B125,30.037,43827940
d15_smP1SO,DM,SOED,SODM,Female,Reproductive,Repro_Female,P1SODM,B126,30.043,54283890
t39_smO1SI,TZ,SIMP,SITZ,Female,Non-repro,Non-repro_Female,O1SITZ,B125,30.047,32173767
d19_smP1SO,DM,SOED,SODM,Female,Reproductive,Repro_Female,P1SODM,B126,30.047,79137169
t59_smO2SI,TZ,SIMP,SITZ,Male,Non-repro,Non-repro_Male,O2SITZ,B126,30.051,44409117
t57_usmO1SI,TZ,SIMP,SITZ,Female,Non-repro,Non-repro_Female,O1SITZ,B125,30.054,45292220
t44_usmP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B127,30.182,77346053
d35_usmP1SO,DM,SOED,SODM,Female,Reproductive,Repro_Female,P1SODM,B127,30.205,178113314
d19_smP1SO,DM,SOED,SODM,Female,Reproductive,Repro_Female,P1SODM,B127,30.211,142852999
d15_smP1SO,DM,SOED,SODM,Female,Reproductive,Repro_Female,P1SODM,B127,30.217,76774354
t29_usmP1SI,TZ,SIMP,SITZ,Female,Reproductive,Repro_Female,P1SITZ,B128,32.212,33901254
