factor,rank,comp,average,sd,ratio,ava,avb,cumsum
Species,116,B004,0.0007131,0.003049,0.2339,0,0.042,0.99096
Species,117,B063,0.0006955,0.002629,0.2645,0.03807,0,0.99196
Species,118,B106,0.0006853,0.002597,0.2639,0.03327,0,0.99294
Species,119,B078,0.0006779,0.002894,0.2342,0,0.04563,0.99391
Species,120,B029,0.0006318,0.002697,0.2342,0,0.04253,0.99481
Species,121,B009,0.0006058,0.00259,0.2339,0,0.03568,0.99567
Species,122,B094,0.0005674,0.002426,0.2339,0,0.03342,0.99648
Species,123,B092,0.0005495,0.00235,0.2339,0,0.03237,0.99727
Species,124,B052,0.000532,0.002275,0.2338,0,0.03042,0.99803
Species,125,B011,0.0005107,0.002185,0.2337,0,0.02832,0.99876
Species,126,B048,0.000462,0.001975,0.2339,0,0.02721,0.99942
Species,127,B128,0.0004073,0.001743,0.2337,0,0.02258,1
Sex,1,B088,0.0301229,0.024652,1.2219,3.45448,2.372,0.04344
Sex,2,B056,0.0300468,0.027104,1.1086,1.45716,1.22789,0.08678
Sex,3,B090,0.0245312,0.021872,1.1216,1.40428,0.65356,0.12215
Sex,4,B035,0.0212447,0.018016,1.1792,1.56204,1.06644,0.15279
Sex,5,B105,0.0205362,0.025482,0.8059,0.45672,0.83411,0.18241
Sex,6,B058,0.0195022,0.019239,1.0137,1.01672,0.30133,0.21054
Sex,7,B041,0.0191766,0.022513,0.8518,0.20904,0.94767,0.23819
Sex,8,B017,0.0186468,0.017491,1.0661,0.88708,0.71633,0.26508
Sex,9,B070,0.0185436,0.017452,1.0626,0.67348,0.82,0.29183
Sex,10,B012,0.0178827,0.015128,1.1821,1.00528,0.98289,0.31762
Sex,11,B054,0.0175587,0.015397,1.1404,0.64188,0.94744,0.34294
Sex,12,B007,0.0158077,0.030573,0.5171,0.06256,0.73744,0.36574
Sex,13,B027,0.0156836,0.014615,1.0731,0.68576,0.73133,0.38836
Sex,14,B112,0.0156796,0.015835,0.9902,0.6572,0.57122,0.41097
Sex,15,B067,0.0151046,0.018026,0.8379,0.15564,0.79244,0.43275
Sex,16,B016,0.0150233,0.022349,0.6722,0.32148,0.64011,0.45442
Sex,17,B121,0.0147861,0.014452,1.0231,0.47896,0.686,0.47574
Sex,18,B093,0.0137514,0.01555,0.8843,0.42392,0.56144,0.49558
Sex,19,B108,0.0123238,0.016165,0.7624,0.36864,0.437,0.51335
Sex,20,B038,0.0118966,0.011181,1.064,0.50068,0.50078,0.53051
Sex,21,B044,0.0114834,0.015269,0.7521,0.1458,0.58578,0.54707
Sex,22,B118,0.0114587,0.010902,1.0511,0.28768,0.56956,0.56359
Sex,23,B059,0.0112608,0.016853,0.6682,0.29536,0.37644,0.57983
Sex,24,B032,0.0099026,0.011571,0.8558,0.36228,0.30089,0.59411
Sex,25,B120,0.0096347,0.014244,0.6764,0.11236,0.43944,0.60801
Sex,26,B075,0.0094227,0.011106,0.8484,0.39944,0.29211,0.6216
Sex,27,B050,0.0093436,0.012817,0.729,0.3058,0.32722,0.63507
Sex,28,B125,0.0091922,0.016416,0.56,0.04736,0.41233,0.64833
Sex,29,B049,0.0082519,0.007846,1.0517,0.19088,0.44011,0.66023
Sex,30,B068,0.008147,0.013883,0.5868,0.30192,0.234,0.67198
Sex,31,B104,0.0072062,0.01421,0.5071,0.02848,0.31767,0.68237
